2309011833;[Default];Y14 Ticiana Deluxe ASTI рубин Spirit 1050;;;;;[lt]0.9;1;1
210615;1-21-3;;;11657670;A1;[B]0.325[D]4.474[AXX]14.806;;1;1
210615;1-33-2;;;14998457;A1;[B]0.732[D]1.953[E]4.23;;1;1
210615;1-50-4;;;10328285;A1;[F]4.719[V]4.719[R]34.25;;1;1
210615;1-8-4;;;9159408;A1;[T]28.393[F]1.871;;1;1
210615;2-2-4;;;11252193;A1;[F]4.393[V]2.197[R]3.742;;1;1
210615;2-43-2;;;14272725;A1;[B]1.464[V]6.671[I]0.325;;1;1
210615;2-43-4;;;12557237;A1;[F]0.732[V]43.28[E]7.891;;1;1
210615;3-43-4;;;11506338;A1;[B]13.423[V]48.243[E]5.207;;1;1
210615;3-47-4;;;10917300;A1;[B]8.135[F]3.01[V]35.877;;1;1
210615;3-48-4;;;10259642;A1;[B]5.207[F]5.939[V]50.196;;1;1
210615;4-41-4;;;10915723;A1;[B]26.033[V]30.508[E]16.434;;1;1
210615;4-50-4;;;9671085;A1;[B]13.83[F]7.891[V]18.223;;1;1
210615;5-12-2;;;12306891;A1;[B]4.474[F]0.325[C]4.23;;1;1
210615;5-43-3;;;11774378;A1;[E]14.4[R]10.332[I]6.427;;1;1
210615;5-50-2;;;13487572;A1;[B]1.627[V]1.383[I]2.197;;1;1
210615;5-50-3;;;11185080;A1;[B]10.739[F]3.336[V]2.685;;1;1
210615;5-50-4;;;9144731;A1;[B]29.288[F]8.461[V]17.735;;1;1
